objectid,filename,title,volume,creator,month/season,date_exact,date,source,identifier,type,collection,format
football-1910c,https://archives.nd.edu/Football/Football-1910c.pdf,Notre Dame Gridiron Season (color) - 1910,,University of Notre Dame Archives,,,1910,https://archives.nd.edu/Football/Football-1910c.pdf,football-1910c,Review,Football Review,application/pdf
football-1910s,https://archives.nd.edu/Football/Football-1910s.pdf,Notre Dame Scholastic Football Review - 1910,,University of Notre Dame Archives,,,1910,https://archives.nd.edu/Football/Football-1910s.pdf,football-1910s,Review,Football Review,application/pdf
football-1911s,https://archives.nd.edu/Football/Football-1911s.pdf,Notre Dame Scholastic Football Review - 1911,,University of Notre Dame Archives,,,1911,https://archives.nd.edu/Football/Football-1911s.pdf,football-1911s,Review,Football Review,application/pdf
football-1912s,https://archives.nd.edu/Football/Football-1912s.pdf,Notre Dame Scholastic Football Review - 1912,,University of Notre Dame Archives,,,1912,https://archives.nd.edu/Football/Football-1912s.pdf,football-1912s,Review,Football Review,application/pdf
football-1913s,https://archives.nd.edu/Football/Football-1913s.pdf,Notre Dame Scholastic Football Review - 1913,,University of Notre Dame Archives,,,1913,https://archives.nd.edu/Football/Football-1913s.pdf,football-1913s,Review,Football Review,application/pdf
football-1914s,https://archives.nd.edu/Football/Football-1914s.pdf,Notre Dame Scholastic Football Review - 1914,,University of Notre Dame Archives,,,1914,https://archives.nd.edu/Football/Football-1914s.pdf,football-1914s,Review,Football Review,application/pdf
football-1915s,https://archives.nd.edu/Football/Football-1915s.pdf,Notre Dame Scholastic Football Review - 1915,,University of Notre Dame Archives,,,1915,https://archives.nd.edu/Football/Football-1915s.pdf,football-1915s,Review,Football Review,application/pdf
football-1916s,https://archives.nd.edu/Football/Football-1916s.pdf,Notre Dame Scholastic Football Review - 1916,,University of Notre Dame Archives,,,1916,https://archives.nd.edu/Football/Football-1916s.pdf,football-1916s,Review,Football Review,application/pdf
football-1917s,https://archives.nd.edu/Football/Football-1917s.pdf,Notre Dame Scholastic Football Review - 1917,,University of Notre Dame Archives,,,1917,https://archives.nd.edu/Football/Football-1917s.pdf,football-1917s,Review,Football Review,application/pdf
football-1918s,https://archives.nd.edu/Football/Football-1918s.pdf,Notre Dame Scholastic Football Review - 1918,,University of Notre Dame Archives,,,1918,https://archives.nd.edu/Football/Football-1918s.pdf,football-1918s,Review,Football Review,application/pdf
football-1919,https://archives.nd.edu/Football/Football-1919.pdf,Notre Dame Football Review - 1919,,University of Notre Dame Archives,,,1919,https://archives.nd.edu/Football/Football-1919.pdf,football-1919,Review,Football Review,application/pdf
football-1919s,https://archives.nd.edu/Football/Football-1919s.pdf,Notre Dame Scholastic Football Review - 1919,,University of Notre Dame Archives,,,1919,https://archives.nd.edu/Football/Football-1919s.pdf,football-1919s,Review,Football Review,application/pdf
football-1920,https://archives.nd.edu/Football/Football-1920.pdf,Notre Dame Football Review - 1920,,University of Notre Dame Archives,,,1920,https://archives.nd.edu/Football/Football-1920.pdf,football-1920,Review,Football Review,application/pdf
football-1920s,https://archives.nd.edu/Football/Football-1920s.pdf,Notre Dame Scholastic Football Review - 1920,,University of Notre Dame Archives,,,1920,https://archives.nd.edu/Football/Football-1920s.pdf,football-1920s,Review,Football Review,application/pdf
football-1921,https://archives.nd.edu/Football/Football-1921.pdf,Notre Dame Football Review - 1921,,University of Notre Dame Archives,,,1921,https://archives.nd.edu/Football/Football-1921.pdf,football-1921,Review,Football Review,application/pdf
football-1921s,https://archives.nd.edu/Football/Football-1921s.pdf,Notre Dame Scholastic Football Review - 1921,,University of Notre Dame Archives,,,1921,https://archives.nd.edu/Football/Football-1921s.pdf,football-1921s,Review,Football Review,application/pdf
football-1922s,https://archives.nd.edu/Football/Football-1922s.pdf,Notre Dame Scholastic Football Review - 1922,,University of Notre Dame Archives,,,1922,https://archives.nd.edu/Football/Football-1922s.pdf,football-1922s,Review,Football Review,application/pdf
football-1924,https://archives.nd.edu/Football/Football-1924.pdf,Notre Dame Football Review - 1924,,University of Notre Dame Archives,,,1924,https://archives.nd.edu/Football/Football-1924.pdf,football-1924,Review,Football Review,application/pdf
football-1925,https://archives.nd.edu/Football/Football-1925.pdf,Notre Dame Football Review - 1925,,University of Notre Dame Archives,,,1925,https://archives.nd.edu/Football/Football-1925.pdf,football-1925,Review,Football Review,application/pdf
football-1926,https://archives.nd.edu/Football/Football-1926.pdf,Notre Dame Football Review - 1926,,University of Notre Dame Archives,,,1926,https://archives.nd.edu/Football/Football-1926.pdf,football-1926,Review,Football Review,application/pdf
football-1927,https://archives.nd.edu/Football/Football-1927.pdf,Notre Dame Football Review - 1927,,University of Notre Dame Archives,,,1927,https://archives.nd.edu/Football/Football-1927.pdf,football-1927,Review,Football Review,application/pdf
football-1928,https://archives.nd.edu/Football/Football-1928.pdf,Notre Dame Football Review - 1928,,University of Notre Dame Archives,,,1928,https://archives.nd.edu/Football/Football-1928.pdf,football-1928,Review,Football Review,application/pdf
football-1929,https://archives.nd.edu/Football/Football-1929.pdf,Notre Dame Football Review - 1929,,University of Notre Dame Archives,,,1929,https://archives.nd.edu/Football/Football-1929.pdf,football-1929,Review,Football Review,application/pdf
football-1930,https://archives.nd.edu/Football/Football-1930.pdf,Notre Dame Football Review - 1930,,University of Notre Dame Archives,,,1930,https://archives.nd.edu/Football/Football-1930.pdf,football-1930,Review,Football Review,application/pdf
football-1930s,https://archives.nd.edu/Football/Football-1930s.pdf,Notre Dame Scholastic Football Review - 1930,,University of Notre Dame Archives,,,1930,https://archives.nd.edu/Football/Football-1930s.pdf,football-1930s,Review,Football Review,application/pdf
football-1931,https://archives.nd.edu/Football/Football-1931.pdf,Notre Dame Football Review - 1931,,University of Notre Dame Archives,,,1931,https://archives.nd.edu/Football/Football-1931.pdf,football-1931,Review,Football Review,application/pdf
football-1932,https://archives.nd.edu/Football/Football-1932.pdf,Notre Dame Football Review - 1932,,University of Notre Dame Archives,,,1932,https://archives.nd.edu/Football/Football-1932.pdf,football-1932,Review,Football Review,application/pdf
football-1935s,https://archives.nd.edu/Football/Football-1935s.pdf,Notre Dame Scholastic Football Review - 1935,,University of Notre Dame Archives,,,1935,https://archives.nd.edu/Football/Football-1935s.pdf,football-1935s,Review,Football Review,application/pdf
football-1939s,https://archives.nd.edu/Football/Football-1939s.pdf,Notre Dame Scholastic Football Review - 1939,,University of Notre Dame Archives,,,1939,https://archives.nd.edu/Football/Football-1939s.pdf,football-1939s,Review,Football Review,application/pdf
football-1940s,https://archives.nd.edu/Football/Football-1940s.pdf,Notre Dame Scholastic Football Review - 1940,,University of Notre Dame Archives,,,1940,https://archives.nd.edu/Football/Football-1940s.pdf,football-1940s,Review,Football Review,application/pdf
football-1941,https://archives.nd.edu/Football/Football-1941.pdf,Notre Dame Football Review - 1941,,University of Notre Dame Archives,,,1941,https://archives.nd.edu/Football/Football-1941.pdf,football-1941,Review,Football Review,application/pdf
football-1942s,https://archives.nd.edu/Football/Football-1942s.pdf,Notre Dame Scholastic Football Review - 1942,,University of Notre Dame Archives,,,1942,https://archives.nd.edu/Football/Football-1942s.pdf,football-1942s,Review,Football Review,application/pdf
football-1943s,https://archives.nd.edu/Football/Football-1943s.pdf,Notre Dame Scholastic Football Review - 1943,,University of Notre Dame Archives,,,1943,https://archives.nd.edu/Football/Football-1943s.pdf,football-1943s,Review,Football Review,application/pdf
football-1944s,https://archives.nd.edu/Football/Football-1944s.pdf,Notre Dame Scholastic Football Review - 1944,,University of Notre Dame Archives,,,1944,https://archives.nd.edu/Football/Football-1944s.pdf,football-1944s,Review,Football Review,application/pdf
football-1945s,https://archives.nd.edu/Football/Football-1945s.pdf,Notre Dame Scholastic Football Review - 1945,,University of Notre Dame Archives,,,1945,https://archives.nd.edu/Football/Football-1945s.pdf,football-1945s,Review,Football Review,application/pdf
football-1946s,https://archives.nd.edu/Football/Football-1946s.pdf,Notre Dame Scholastic Football Review - 1946,,University of Notre Dame Archives,,,1946,https://archives.nd.edu/Football/Football-1946s.pdf,football-1946s,Review,Football Review,application/pdf
football-1947s,https://archives.nd.edu/Football/Football-1947s.pdf,Notre Dame Scholastic Football Review - 1947,,University of Notre Dame Archives,,,1947,https://archives.nd.edu/Football/Football-1947s.pdf,football-1947s,Review,Football Review,application/pdf
football-1948s,https://archives.nd.edu/Football/Football-1948s.pdf,Notre Dame Scholastic Football Review - 1948,,University of Notre Dame Archives,,,1948,https://archives.nd.edu/Football/Football-1948s.pdf,football-1948s,Review,Football Review,application/pdf
football-1949s,https://archives.nd.edu/Football/Football-1949s.pdf,Notre Dame Scholastic Football Review - 1949,,University of Notre Dame Archives,,,1949,https://archives.nd.edu/Football/Football-1949s.pdf,football-1949s,Review,Football Review,application/pdf
football-1950s,https://archives.nd.edu/Football/Football-1950s.pdf,Notre Dame Scholastic Football Review - 1950,,University of Notre Dame Archives,,,1950,https://archives.nd.edu/Football/Football-1950s.pdf,football-1950s,Review,Football Review,application/pdf
football-1951s,https://archives.nd.edu/Football/Football-1951s.pdf,Notre Dame Scholastic Football Review - 1951,,University of Notre Dame Archives,,,1951,https://archives.nd.edu/Football/Football-1951s.pdf,football-1951s,Review,Football Review,application/pdf
football-1952s,https://archives.nd.edu/Football/Football-1952s.pdf,Notre Dame Scholastic Football Review - 1952,,University of Notre Dame Archives,,,1952,https://archives.nd.edu/Football/Football-1952s.pdf,football-1952s,Review,Football Review,application/pdf
football-1953s,https://archives.nd.edu/Football/Football-1953s.pdf,Notre Dame Scholastic Football Review - 1953,,University of Notre Dame Archives,,,1953,https://archives.nd.edu/Football/Football-1953s.pdf,football-1953s,Review,Football Review,application/pdf
football-1954s,https://archives.nd.edu/Football/Football-1954s.pdf,Notre Dame Scholastic Football Review - 1954,,University of Notre Dame Archives,,,1954,https://archives.nd.edu/Football/Football-1954s.pdf,football-1954s,Review,Football Review,application/pdf
football-1955s,https://archives.nd.edu/Football/Football-1955s.pdf,Notre Dame Scholastic Football Review - 1955,,University of Notre Dame Archives,,,1955,https://archives.nd.edu/Football/Football-1955s.pdf,football-1955s,Review,Football Review,application/pdf
football-1956s,https://archives.nd.edu/Football/Football-1956s.pdf,Notre Dame Scholastic Football Review - 1956,,University of Notre Dame Archives,,,1956,https://archives.nd.edu/Football/Football-1956s.pdf,football-1956s,Review,Football Review,application/pdf
football-1957s,https://archives.nd.edu/Football/Football-1957s.pdf,Notre Dame Scholastic Football Review - 1957,,University of Notre Dame Archives,,,1957,https://archives.nd.edu/Football/Football-1957s.pdf,football-1957s,Review,Football Review,application/pdf
football-1958s,https://archives.nd.edu/Football/Football-1958s.pdf,Notre Dame Scholastic Football Review - 1958,,University of Notre Dame Archives,,,1958,https://archives.nd.edu/Football/Football-1958s.pdf,football-1958s,Review,Football Review,application/pdf
football-1959s,https://archives.nd.edu/Football/Football-1959s.pdf,Notre Dame Scholastic Football Review - 1959,,University of Notre Dame Archives,,,1959,https://archives.nd.edu/Football/Football-1959s.pdf,football-1959s,Review,Football Review,application/pdf
football-1960s,https://archives.nd.edu/Football/Football-1960s.pdf,Notre Dame Scholastic Football Review - 1960,,University of Notre Dame Archives,,,1960,https://archives.nd.edu/Football/Football-1960s.pdf,football-1960s,Review,Football Review,application/pdf
football-1961s,https://archives.nd.edu/Football/Football-1961s.pdf,Notre Dame Scholastic Football Review - 1961,,University of Notre Dame Archives,,,1961,https://archives.nd.edu/Football/Football-1961s.pdf,football-1961s,Review,Football Review,application/pdf
football-1962s,https://archives.nd.edu/Football/Football-1962s.pdf,Notre Dame Scholastic Football Review - 1962,,University of Notre Dame Archives,,,1962,https://archives.nd.edu/Football/Football-1962s.pdf,football-1962s,Review,Football Review,application/pdf
football-1963s,https://archives.nd.edu/Football/Football-1963s.pdf,Notre Dame Scholastic Football Review - 1963,,University of Notre Dame Archives,,,1963,https://archives.nd.edu/Football/Football-1963s.pdf,football-1963s,Review,Football Review,application/pdf
football-1964s,https://archives.nd.edu/Football/Football-1964s.pdf,Notre Dame Scholastic Football Review - 1964,,University of Notre Dame Archives,,,1964,https://archives.nd.edu/Football/Football-1964s.pdf,football-1964s,Review,Football Review,application/pdf
football-1965s,https://archives.nd.edu/Football/Football-1965s.pdf,Notre Dame Scholastic Football Review - 1965,,University of Notre Dame Archives,,,1965,https://archives.nd.edu/Football/Football-1965s.pdf,football-1965s,Review,Football Review,application/pdf
football-1966s,https://archives.nd.edu/Football/Football-1966s.pdf,Notre Dame Scholastic Football Review - 1966,,University of Notre Dame Archives,,,1966,https://archives.nd.edu/Football/Football-1966s.pdf,football-1966s,Review,Football Review,application/pdf
football-1967s,https://archives.nd.edu/Football/Football-1967s.pdf,Notre Dame Scholastic Football Review - 1967,,University of Notre Dame Archives,,,1967,https://archives.nd.edu/Football/Football-1967s.pdf,football-1967s,Review,Football Review,application/pdf
football-1968s,https://archives.nd.edu/Football/Football-1968s.pdf,Notre Dame Scholastic Football Review - 1968,,University of Notre Dame Archives,,,1968,https://archives.nd.edu/Football/Football-1968s.pdf,football-1968s,Review,Football Review,application/pdf
football-1969s,https://archives.nd.edu/Football/Football-1969s.pdf,Notre Dame Scholastic Football Review - 1969,,University of Notre Dame Archives,,,1969,https://archives.nd.edu/Football/Football-1969s.pdf,football-1969s,Review,Football Review,application/pdf
football-1970s,https://archives.nd.edu/Football/Football-1970s.pdf,Notre Dame Scholastic Football Review - 1970,,University of Notre Dame Archives,,,1970,https://archives.nd.edu/Football/Football-1970s.pdf,football-1970s,Review,Football Review,application/pdf
football-1971s,https://archives.nd.edu/Football/Football-1971s.pdf,Notre Dame Scholastic Football Review - 1971,,University of Notre Dame Archives,,,1971,https://archives.nd.edu/Football/Football-1971s.pdf,football-1971s,Review,Football Review,application/pdf
football-1972s,https://archives.nd.edu/Football/Football-1972s.pdf,Notre Dame Scholastic Football Review - 1972,,University of Notre Dame Archives,,,1972,https://archives.nd.edu/Football/Football-1972s.pdf,football-1972s,Review,Football Review,application/pdf
football-1973s,https://archives.nd.edu/Football/Football-1973s.pdf,Notre Dame Scholastic Football Review - 1973,,University of Notre Dame Archives,,,1973,https://archives.nd.edu/Football/Football-1973s.pdf,football-1973s,Review,Football Review,application/pdf
football-1974s,https://archives.nd.edu/Football/Football-1974s.pdf,Notre Dame Scholastic Football Review - 1974,,University of Notre Dame Archives,,,1974,https://archives.nd.edu/Football/Football-1974s.pdf,football-1974s,Review,Football Review,application/pdf
football-1975s,https://archives.nd.edu/Football/Football-1975s.pdf,Notre Dame Scholastic Football Review - 1975,,University of Notre Dame Archives,,,1975,https://archives.nd.edu/Football/Football-1975s.pdf,football-1975s,Review,Football Review,application/pdf
football-1976s,https://archives.nd.edu/Football/Football-1976s.pdf,Notre Dame Scholastic Football Review - 1976,,University of Notre Dame Archives,,,1976,https://archives.nd.edu/Football/Football-1976s.pdf,football-1976s,Review,Football Review,application/pdf
football-1977s,https://archives.nd.edu/Football/Football-1977s.pdf,Notre Dame Scholastic Football Review - 1977,,University of Notre Dame Archives,,,1977,https://archives.nd.edu/Football/Football-1977s.pdf,football-1977s,Review,Football Review,application/pdf
football-1978s,https://archives.nd.edu/Football/Football-1978s.pdf,Notre Dame Scholastic Football Review - 1978,,University of Notre Dame Archives,,,1978,https://archives.nd.edu/Football/Football-1978s.pdf,football-1978s,Review,Football Review,application/pdf
football-1979s,https://archives.nd.edu/Football/Football-1979s.pdf,Notre Dame Scholastic Football Review - 1979,,University of Notre Dame Archives,,,1979,https://archives.nd.edu/Football/Football-1979s.pdf,football-1979s,Review,Football Review,application/pdf
football-1980,https://archives.nd.edu/Football/Football-1980.pdf,Notre Dame Football Review - 1980,,University of Notre Dame Archives,,,1980,https://archives.nd.edu/Football/Football-1980.pdf,football-1980,Review,Football Review,application/pdf
football-1981,https://archives.nd.edu/Football/Football-1981.pdf,Notre Dame Football Review - 1981,,University of Notre Dame Archives,,,1981,https://archives.nd.edu/Football/Football-1981.pdf,football-1981,Review,Football Review,application/pdf
football-1982,https://archives.nd.edu/Football/Football-1982.pdf,Notre Dame Football Review - 1982,,University of Notre Dame Archives,,,1982,https://archives.nd.edu/Football/Football-1982.pdf,football-1982,Review,Football Review,application/pdf
football-1983,https://archives.nd.edu/Football/Football-1983.pdf,Notre Dame Football Review - 1983,,University of Notre Dame Archives,,,1983,https://archives.nd.edu/Football/Football-1983.pdf,football-1983,Review,Football Review,application/pdf
football-1983s,https://archives.nd.edu/Football/Football-1983s.pdf,Notre Dame Scholastic Football Review - 1983,,University of Notre Dame Archives,,,1983,https://archives.nd.edu/Football/Football-1983s.pdf,football-1983s,Review,Football Review,application/pdf
football-1984,https://archives.nd.edu/Football/Football-1984.pdf,Notre Dame Football Review - 1984,,University of Notre Dame Archives,,,1984,https://archives.nd.edu/Football/Football-1984.pdf,football-1984,Review,Football Review,application/pdf
football-1985,https://archives.nd.edu/Football/Football-1985.pdf,Notre Dame Football Review - 1985,,University of Notre Dame Archives,,,1985,https://archives.nd.edu/Football/Football-1985.pdf,football-1985,Review,Football Review,application/pdf
football-1985s,https://archives.nd.edu/Football/Football-1985s.pdf,Notre Dame Scholastic Football Review - 1985,,University of Notre Dame Archives,,,1985,https://archives.nd.edu/Football/Football-1985s.pdf,football-1985s,Review,Football Review,application/pdf
football-1986,https://archives.nd.edu/Football/Football-1986.pdf,Notre Dame Football Review - 1986,,University of Notre Dame Archives,,,1986,https://archives.nd.edu/Football/Football-1986.pdf,football-1986,Review,Football Review,application/pdf
football-1986s,https://archives.nd.edu/Football/Football-1986s.pdf,Notre Dame Scholastic Football Review - 1986,,University of Notre Dame Archives,,,1986,https://archives.nd.edu/Football/Football-1986s.pdf,football-1986s,Review,Football Review,application/pdf
football-1987s,https://archives.nd.edu/Football/Football-1987s.pdf,Notre Dame Scholastic Football Review - 1987,,University of Notre Dame Archives,,,1987,https://archives.nd.edu/Football/Football-1987s.pdf,football-1987s,Review,Football Review,application/pdf
football-1988,https://archives.nd.edu/Football/Football-1988.pdf,Notre Dame Football Review - 1988,,University of Notre Dame Archives,,,1988,https://archives.nd.edu/Football/Football-1988.pdf,football-1988,Review,Football Review,application/pdf
football-1988s,https://archives.nd.edu/Football/Football-1988s.pdf,Notre Dame Scholastic Football Review - 1988,,University of Notre Dame Archives,,,1988,https://archives.nd.edu/Football/Football-1988s.pdf,football-1988s,Review,Football Review,application/pdf
football-1989s,https://archives.nd.edu/Football/Football-1989s.pdf,Notre Dame Scholastic Football Review - 1989,,University of Notre Dame Archives,,,1989,https://archives.nd.edu/Football/Football-1989s.pdf,football-1989s,Review,Football Review,application/pdf
football-1990s,https://archives.nd.edu/Football/Football-1990s.pdf,Notre Dame Scholastic Football Review - 1990,,University of Notre Dame Archives,,,1990,https://archives.nd.edu/Football/Football-1990s.pdf,football-1990s,Review,Football Review,application/pdf
football-1991s,https://archives.nd.edu/Football/Football-1991s.pdf,Notre Dame Scholastic Football Review - 1991,,University of Notre Dame Archives,,,1991,https://archives.nd.edu/Football/Football-1991s.pdf,football-1991s,Review,Football Review,application/pdf
football-1992s,https://archives.nd.edu/Football/Football-1992s.pdf,Notre Dame Scholastic Football Review - 1992,,University of Notre Dame Archives,,,1992,https://archives.nd.edu/Football/Football-1992s.pdf,football-1992s,Review,Football Review,application/pdf
football-1993s,https://archives.nd.edu/Football/Football-1993s.pdf,Notre Dame Scholastic Football Review - 1993,,University of Notre Dame Archives,,,1993,https://archives.nd.edu/Football/Football-1993s.pdf,football-1993s,Review,Football Review,application/pdf
football-1994s,https://archives.nd.edu/Football/Football-1994s.pdf,Notre Dame Scholastic Football Review - 1994,,University of Notre Dame Archives,,,1994,https://archives.nd.edu/Football/Football-1994s.pdf,football-1994s,Review,Football Review,application/pdf
football-1995s,https://archives.nd.edu/Football/Football-1995s.pdf,Notre Dame Scholastic Football Review - 1995,,University of Notre Dame Archives,,,1995,https://archives.nd.edu/Football/Football-1995s.pdf,football-1995s,Review,Football Review,application/pdf
football-1996s,https://archives.nd.edu/Football/Football-1996s.pdf,Notre Dame Scholastic Football Review - 1996,,University of Notre Dame Archives,,,1996,https://archives.nd.edu/Football/Football-1996s.pdf,football-1996s,Review,Football Review,application/pdf
football-1997s,https://archives.nd.edu/Football/Football-1997s.pdf,Notre Dame Scholastic Football Review - 1997,,University of Notre Dame Archives,,,1997,https://archives.nd.edu/Football/Football-1997s.pdf,football-1997s,Review,Football Review,application/pdf
football-1998s,https://archives.nd.edu/Football/Football-1998s.pdf,Notre Dame Scholastic Football Review - 1998,,University of Notre Dame Archives,,,1998,https://archives.nd.edu/Football/Football-1998s.pdf,football-1998s,Review,Football Review,application/pdf
football-1999s,https://archives.nd.edu/Football/Football-1999s.pdf,Notre Dame Scholastic Football Review - 1999,,University of Notre Dame Archives,,,1999,https://archives.nd.edu/Football/Football-1999s.pdf,football-1999s,Review,Football Review,application/pdf
football-2000s,https://archives.nd.edu/Football/Football-2000s.pdf,Notre Dame Football Review - 2000,,University of Notre Dame Archives,,,2000,https://archives.nd.edu/Football/Football-2000s.pdf,football-2000s,Review,Football Review,application/pdf
football-2001s,https://archives.nd.edu/Football/Football-2001s.pdf,Notre Dame Football Review - 2001,,University of Notre Dame Archives,,,2001,https://archives.nd.edu/Football/Football-2001s.pdf,football-2001s,Review,Football Review,application/pdf
football-2002s,https://archives.nd.edu/Football/Football-2002s.pdf,Notre Dame Football Review - 2002,,University of Notre Dame Archives,,,2002,https://archives.nd.edu/Football/Football-2002s.pdf,football-2002s,Review,Football Review,application/pdf
football-2003s,https://archives.nd.edu/Football/Football-2003s.pdf,Notre Dame Football Review - 2003,,University of Notre Dame Archives,,,2003,https://archives.nd.edu/Football/Football-2003s.pdf,football-2003s,Review,Football Review,application/pdf
football-2004s,https://archives.nd.edu/Football/Football-2004s.pdf,Notre Dame Football Review - 2004,,University of Notre Dame Archives,,,2004,https://archives.nd.edu/Football/Football-2004s.pdf,football-2004s,Review,Football Review,application/pdf
football-2005s,https://archives.nd.edu/Football/Football-2005s.pdf,Notre Dame Football Review - 2005,,University of Notre Dame Archives,,,2005,https://archives.nd.edu/Football/Football-2005s.pdf,football-2005s,Review,Football Review,application/pdf
football-2006s,https://archives.nd.edu/Football/Football-2006s.pdf,Notre Dame Football Review - 2006,,University of Notre Dame Archives,,,2006,https://archives.nd.edu/Football/Football-2006s.pdf,football-2006s,Review,Football Review,application/pdf
football-2007s,https://archives.nd.edu/Football/Football-2007s.pdf,Notre Dame Football Review - 2007,,University of Notre Dame Archives,,,2007,https://archives.nd.edu/Football/Football-2007s.pdf,football-2007s,Review,Football Review,application/pdf
football-2008s,https://archives.nd.edu/Football/Football-2008s.pdf,Notre Dame Football Review - 2008,,University of Notre Dame Archives,,,2008,https://archives.nd.edu/Football/Football-2008s.pdf,football-2008s,Review,Football Review,application/pdf
football-2010s,https://archives.nd.edu/Football/Football-2010s.pdf,Notre Dame Football Review - 2010,,University of Notre Dame Archives,,,2010,https://archives.nd.edu/Football/Football-2010s.pdf,football-2010s,Review,Football Review,application/pdf
ND_Daily_1923-05-20_V1-001,https://archives.nd.edu/Daily/ND_Daily_1923-05-20_V1-001.pdf,"Notre Dame Daily 1923-05-20 (Volume 1, Number 1)",Volume 1,University of Notre Dame Archives,,5/20/1923,1923,https://archives.nd.edu/Daily/ND_Daily_1923-05-20_V1-001.pdf,ND_Daily_1923-05-20_V1-001,Newspaper,Daily,application/pdf
ND_Daily_1923-05-22_V1-002,https://archives.nd.edu/Daily/ND_Daily_1923-05-22_V1-002.pdf,"Notre Dame Daily 1923-05-22 (Volume 1, Number 2)",Volume 1,University of Notre Dame Archives,,5/22/1923,1923,https://archives.nd.edu/Daily/ND_Daily_1923-05-22_V1-002.pdf,ND_Daily_1923-05-22_V1-002,Newspaper,Daily,application/pdf
ND_Daily_1923-05-23_V1-003,https://archives.nd.edu/Daily/ND_Daily_1923-05-23_V1-003.pdf,"Notre Dame Daily 1923-05-23 (Volume 1, Number 3)",Volume 1,University of Notre Dame Archives,,5/23/1923,1923,https://archives.nd.edu/Daily/ND_Daily_1923-05-23_V1-003.pdf,ND_Daily_1923-05-23_V1-003,Newspaper,Daily,application/pdf
ND_Daily_1923-05-25_V1-004,https://archives.nd.edu/Daily/ND_Daily_1923-05-25_V1-004.pdf,"Notre Dame Daily 1923-05-25 (Volume 1, Number 4)",Volume 1,University of Notre Dame Archives,,5/25/1923,1923,https://archives.nd.edu/Daily/ND_Daily_1923-05-25_V1-004.pdf,ND_Daily_1923-05-25_V1-004,Newspaper,Daily,application/pdf
ND_Daily_1923-05-26_V1-005,https://archives.nd.edu/Daily/ND_Daily_1923-05-26_V1-005.pdf,"Notre Dame Daily 1923-05-26 (Volume 1, Number 5)",Volume 1,University of Notre Dame Archives,,5/26/1923,1923,https://archives.nd.edu/Daily/ND_Daily_1923-05-26_V1-005.pdf,ND_Daily_1923-05-26_V1-005,Newspaper,Daily,application/pdf
ND_Daily_1923-05-27_V1-006,https://archives.nd.edu/Daily/ND_Daily_1923-05-27_V1-006.pdf,"Notre Dame Daily 1923-05-27 (Volume 1, Number 6)",Volume 1,University of Notre Dame Archives,,5/27/1923,1923,https://archives.nd.edu/Daily/ND_Daily_1923-05-27_V1-006.pdf,ND_Daily_1923-05-27_V1-006,Newspaper,Daily,application/pdf
